uuid;name;shortname;synonym-1;description;reference-term-source;reference-term-code;reference-term-relationship;class;datatype;is-set;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Extirpation of Lymphatic, Neck, Right;;Excision of Lymphnode Neck, Right;Extirpation:(Taking or cutting out solid matter from a body part) of Lymphatic, Neck, Right;ICD10 PCS-BD;07C10ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Lymphatic, Neck, Left ;;Excision of Lymphnode Neck, Left;Extirpation:(Taking or cutting out solid matter from a body part) of Lymphatic, Neck, Left ;ICD10 PCS-BD;07C20ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Lymphatic, Right Inguinal;;Excision of Lymphnode, Right Inguinal;Extirpation:(Taking or cutting out solid matter from a body part) of Lymphatic, Right Inguinal;ICD10 PCS-BD;07CH0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Lymphatic, Left Inguinal;;Excision of Lymphnode, Left Inguinal;Extirpation:(Taking or cutting out solid matter from a body part) of Lymphatic, Left Inguinal;ICD10 PCS-BD;07CJ0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of External Ear, Right ;;Excision of Growth External Ear, Right ;Extirpation:(Taking or cutting out solid matter from a body part) of External Ear, Right ;ICD10 PCS-BD;09C00ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of External Ear, Left;;Excision of Growth External Ear, Left;Extirpation:(Taking or cutting out solid matter from a body part) of External Ear, Left;ICD10 PCS-BD;09C10ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Nose;;Excision of Growth Nose;Extirpation:(Taking or cutting out solid matter from a body part) of Nose;ICD10 PCS-BD;09CK0ZZ;SAME-AS;Procedure;N/A;;;;;
;Bypass of Lacrimal Duct, Right ;;DCR Right;Bypass:( Altering the route of passage of the contents of a tubular body part) of Lacrimal Duct, Right ;ICD10 PCS-BD;081X0Z3;SAME-AS;Procedure;N/A;;;;;
;Bypass of Lacrimal Duct, Left;;DCR Left;Bypass:( Altering the route of passage of the contents of a tubular body part) of Lacrimal Duct, Left;ICD10 PCS-BD;081Y0Z3;SAME-AS;Procedure;N/A;;;;;
;Destruction of Conjunctiva, Right ;;Pterygium Right Physical eradication;Destruction:(Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent) of Conjunctiva, Right ;ICD10 PCS-BD;085SXZZ;SAME-AS;Procedure;N/A;;;;;
;Destruction of Conjunctiva, Left;;Pterygium Left Physical eradication;Destruction:(Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent) of Conjunctiva, Left;ICD10 PCS-BD;085TXZZ;SAME-AS;Procedure;N/A;;;;;
;Dilation of Lacrimal Duct, Right ;;Dilatation of lacrimal duct Right;Dilation:(Expanding an orifice or the lumen of a tubular body part) of Lacrimal Duct, Right ;ICD10 PCS-BD;087X7DZ;SAME-AS;Procedure;N/A;;;;;
;Dilation of Lacrimal Duct, Left;;Dilatation of lacrimal duct Left;Dilation:(Expanding an orifice or the lumen of a tubular body part) of Lacrimal Duct, Left;ICD10 PCS-BD;087Y7DZ;SAME-AS;Procedure;N/A;;;;;
