uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Child Health;;;;ConvSet;N/A;Child Health;TRUE;;;;;;;;;;;
;Treatment Given;;;;Question;Coded;Treatment Given;FALSE;;;;;;;;Child Health;;;
;General Treatment;;;;Misc;N/A;General Treatment;FALSE;;;;;;;;;;Treatment Given;1
;Antibiotics given;;;;Misc;N/A;Antibiotics given;FALSE;;;;;;;;;;Treatment Given;3
;Advice given;;;;Misc;N/A;Advice given;FALSE;;;;;;;;;;Treatment Given;2
;Has the child been ( 6-23 Months) provided (4 Or 4+ Food Group);;;;Question;Boolean;Has the child been ( 6-23 Months) Provided (4 Or 4+ Food Group);FALSE;;;;;;;;Child Health;;;
;Is The Child (Under 6 Months) On Exclusive Breast Feeding?;;;;Question;Boolean;Is The Child (Under 6 Months) On Exclusive Breast Feeding?;FALSE;;;;;;;;Child Health;;;
;Pneumonia Information;;;;ConvSet;N/A;Pneumonia Information;TRUE;;;;;;;;Child Health;;;
;Diarrhea Information;;;;ConvSet;N/A;Diarrhea Information;TRUE;;;;;;;;Child Health;;;
;Oral antibiotics given;;;;Question;Boolean;Oral antibiotics given;FALSE;;;;;;;;Pneumonia Information;1;;
;Completed full dose of antibiotics;;;;Question;Boolean;Completed full dose of antibiotics;FALSE;;;;;;;;Pneumonia Information;2;;
;Treatment For Diarrhea;;;;Question;Coded;Treatment For Diarrhea;FALSE;;;;;;;;Diarrhea Information;;;
;Homemade fluid given;;;;Misc;N/A;Homemade fluid given;FALSE;;;;;;;;Diarrhea Information;;Treatment For Diarrhea;1
;ORT given;;;;Misc;N/A;ORT given;FALSE;;;;;;;;;;Treatment For Diarrhea;2
;Zinc given;;;;Misc;N/A;Zinc given;FALSE;;;;;;;;;;Treatment For Diarrhea;3
;Feed as per IMCI protocol given;;;;Misc;N/A;Feed as per IMCI protocol given;FALSE;;;;;;;;;;Treatment For Diarrhea;4
