uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Cholera;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A00;;SAME-AS;;;;;;;
;Cholera due to Vibrio cholerae 01, biovar cholerae;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A00.0;;SAME-AS;;;;;;;
;Cholera due to Vibrio cholerae 01, biovar eltor;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A00.1;;SAME-AS;;;;;;;
;Cholera, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A00.9;;SAME-AS;;;;;;;
;Typhoid and paratyphoid fevers;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A01;;SAME-AS;;;;;;;
;Typhoid fever;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A01.0;;SAME-AS;;;;;;;
;Paratyphoid fever A;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A01.1;;SAME-AS;;;;;;;
;Paratyphoid fever B;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A01.2;;SAME-AS;;;;;;;
;Paratyphoid fever C;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A01.3;;SAME-AS;;;;;;;
;Paratyphoid fever, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A01.4;;SAME-AS;;;;;;;
;Other salmonella infections;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A02;;SAME-AS;;;;;;;
;Salmonella enteritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A02.0;;SAME-AS;;;;;;;
;Salmonella septicemia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A02.1;;SAME-AS;;;;;;;
;Localized salmonella infections;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A02.2;;SAME-AS;;;;;;;
;Other specified salmonella infections;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A02.8;;SAME-AS;;;;;;;
;Salmonella infection, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A02.9;;SAME-AS;;;;;;;
;Shigellosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A03;;SAME-AS;;;;;;;
;Shigellosis due to Shigella dysenteriae;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A03.0;;SAME-AS;;;;;;;
;Shigellosis due to Shigella flexneri;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A03.1;;SAME-AS;;;;;;;
;Shigellosis due to Shigella boydii;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A03.2;;SAME-AS;;;;;;;
;Shigellosis due to Shigella sonnei;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A03.3;;SAME-AS;;;;;;;
;Other shigellosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A03.8;;SAME-AS;;;;;;;
;Shigellosis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A03.9;;SAME-AS;;;;;;;
;Other bacterial intestinal infections;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A04;;SAME-AS;;;;;;;
;Enteropathogenic Escherichia coli infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A04.0;;SAME-AS;;;;;;;
;Enterotoxigenic Escherichia coli infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A04.1;;SAME-AS;;;;;;;
;Enteroinvasive Escherichia coli infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A04.2;;SAME-AS;;;;;;;
;Enterohemorrhagic Escherichia coli infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A04.3;;SAME-AS;;;;;;;
;Other intestinal Escherichia coli infections;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A04.4;;SAME-AS;;;;;;;
;Campylobacter enteritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;A04.5;;SAME-AS;;;;;;;
