uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Malignant neoplasm of lip;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00;;SAME-AS;;;;;;;
;Malignant neoplasm of external upper lip;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.0;;SAME-AS;;;;;;;
;Malignant neoplasm of external lower lip;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.1;;SAME-AS;;;;;;;
;Malignant neoplasm of external lip, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.2;;SAME-AS;;;;;;;
;Malignant neoplasm of upper lip, inner aspect;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.3;;SAME-AS;;;;;;;
;Malignant neoplasm of lower lip, inner aspect;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.4;;SAME-AS;;;;;;;
;Malignant neoplasm of lip, unspecified, inner aspect;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.5;;SAME-AS;;;;;;;
;Malignant neoplasm of commissure of lip;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.6;;SAME-AS;;;;;;;
;Malignant neoplasm of overlapping lesion of lip;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.8;;SAME-AS;;;;;;;
;Malignant neoplasm of lip, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C00.9;;SAME-AS;;;;;;;
;Malignant neoplasm of base of tongue;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C01;;SAME-AS;;;;;;;
;Malignant neoplasm of other and unspecified parts of tongue;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C02;;SAME-AS;;;;;;;
;Malignant neoplasm of dorsal surface of tongue;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C02.0;;SAME-AS;;;;;;;
;Malignant neoplasm of border of tongue;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C02.1;;SAME-AS;;;;;;;
;Malignant neoplasm of ventral surface of tongue;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C02.2;;SAME-AS;;;;;;;
;Malignant neoplasm of anterior two-thirds of tongue, part unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C02.3;;SAME-AS;;;;;;;
;Malignant neoplasm of lingual tonsil;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C02.4;;SAME-AS;;;;;;;
;Malignant neoplasm of overlapping lesion of tongue;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C02.8;;SAME-AS;;;;;;;
;Malignant neoplasm of tongue, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C02.9;;SAME-AS;;;;;;;
;Malignant neoplasm of gum;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C03;;SAME-AS;;;;;;;
;Malignant neoplasm of upper gum;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C03.0;;SAME-AS;;;;;;;
;Malignant neoplasm of lower gum;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C03.1;;SAME-AS;;;;;;;
;Malignant neoplasm of gum, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C03.9;;SAME-AS;;;;;;;
;Malignant neoplasm of floor of mouth;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C04;;SAME-AS;;;;;;;
;Malignant neoplasm of anterior floor of mouth;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C04.0;;SAME-AS;;;;;;;
;Malignant neoplasm of lateral floor of mouth;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C04.1;;SAME-AS;;;;;;;
;Malignant neoplasm of overlapping lesion of floor of mouth;;;;Diagnosis;N/A;;FALSE;ICD10-BD;C04.8;;SAME-AS;;;;;;;
