uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Congenital iodine-deficiency syndrome;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E00;;SAME-AS;;;;;;;
;Congenital iodine-deficiency syndrome, neurological type;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E00.0;;SAME-AS;;;;;;;
;Congenital iodine-deficiency syndrome, myxedematous type;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E00.1;;SAME-AS;;;;;;;
;Congenital iodine-deficiency syndrome, mixed type;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E00.2;;SAME-AS;;;;;;;
;Congenital iodine-deficiency syndrome, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E00.9;;SAME-AS;;;;;;;
;Iodine-deficiency-related thyroid disorders and allied conditions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E01;;SAME-AS;;;;;;;
;Iodine-deficiency-related diffuse (endemic) goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E01.0;;SAME-AS;;;;;;;
;Iodine-deficiency-related multinodular (endemic) goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E01.1;;SAME-AS;;;;;;;
;Iodine-deficiency-related (endemic) goiter, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E01.2;;SAME-AS;;;;;;;
;Other iodine-deficiency-related thyroid disorders and allied conditions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E01.8;;SAME-AS;;;;;;;
;Subclinical iodine-deficiency hypothyroidism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E02;;SAME-AS;;;;;;;
;Other hypothyroidism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03;;SAME-AS;;;;;;;
;Congenital hypothyroidism with diffuse goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03.0;;SAME-AS;;;;;;;
;Congenital hypothyroidism without goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03.1;;SAME-AS;;;;;;;
;Hypothyroidism due to medicaments and other exogenous substances;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03.2;;SAME-AS;;;;;;;
;Postinfectious hypothyroidism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03.3;;SAME-AS;;;;;;;
;Atrophy of thyroid (acquired);;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03.4;;SAME-AS;;;;;;;
;Myxedema coma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03.5;;SAME-AS;;;;;;;
;Other specified hypothyroidism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03.8;;SAME-AS;;;;;;;
;Hypothyroidism, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E03.9;;SAME-AS;;;;;;;
;Other nontoxic goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E04;;SAME-AS;;;;;;;
;Nontoxic diffuse goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E04.0;;SAME-AS;;;;;;;
;Nontoxic single thyroid nodule;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E04.1;;SAME-AS;;;;;;;
;Nontoxic multinodular goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E04.2;;SAME-AS;;;;;;;
;Other specified nontoxic goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E04.8;;SAME-AS;;;;;;;
;Nontoxic goiter, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E04.9;;SAME-AS;;;;;;;
;Thyrotoxicosis [hyperthyroidism];;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05;;SAME-AS;;;;;;;
;Thyrotoxicosis with diffuse goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05.0;;SAME-AS;;;;;;;
;Thyrotoxicosis with toxic single thyroid nodule;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05.1;;SAME-AS;;;;;;;
;Thyrotoxicosis with toxic multinodular goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05.2;;SAME-AS;;;;;;;
;Thyrotoxicosis from ectopic thyroid tissue;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05.3;;SAME-AS;;;;;;;
;Thyrotoxicosis factitia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05.4;;SAME-AS;;;;;;;
;Thyroid crisis or storm;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05.5;;SAME-AS;;;;;;;
;Other thyrotoxicosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05.8;;SAME-AS;;;;;;;
;Thyrotoxicosis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E05.9;;SAME-AS;;;;;;;
;Thyroiditis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E06;;SAME-AS;;;;;;;
;Acute thyroiditis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E06.0;;SAME-AS;;;;;;;
;Subacute thyroiditis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E06.1;;SAME-AS;;;;;;;
;Chronic thyroiditis with transient thyrotoxicosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E06.2;;SAME-AS;;;;;;;
;Autoimmune thyroiditis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E06.3;;SAME-AS;;;;;;;
;Drug-induced thyroiditis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E06.4;;SAME-AS;;;;;;;
;Other chronic thyroiditis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E06.5;;SAME-AS;;;;;;;
;Thyroiditis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E06.9;;SAME-AS;;;;;;;
;Other disorders of thyroid;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E07;;SAME-AS;;;;;;;
;Hypersecretion of calcitonin;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E07.0;;SAME-AS;;;;;;;
;Dyshormogenetic goiter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E07.1;;SAME-AS;;;;;;;
;Other specified disorders of thyroid;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E07.8;;SAME-AS;;;;;;;
;Disorder of thyroid, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E07.9;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with coma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.0;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with ketoacidosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.1;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with renal complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.2 ;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with ophthalmic complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.3 ;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with neurological complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.4 ;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with peripheral circulatory complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.5;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with other specified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.6;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with multiple complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.7;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus with unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.8;;SAME-AS;;;;;;;
;Insulin-dependent diabetes mellitus without complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E10.9;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus  ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with coma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.0;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with ketoacidosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.1;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with renal complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.2 ;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with ophthalmic complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.3 ;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with neurological complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.4 ;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with peripheral circulatory complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.5;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with other specified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.6;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with multiple complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.7;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus with unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.8;;SAME-AS;;;;;;;
;Non-insulin-dependent diabetes mellitus without complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E11.9;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus  ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with coma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.0;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with ketoacidosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.1;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with renal complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.2 ;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with ophthalmic complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.3 ;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with neurological complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.4 ;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with peripheral circulatory complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.5;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with other specified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.6;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with multiple complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.7;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus with unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.8;;SAME-AS;;;;;;;
;Malnutrition-related diabetes mellitus without complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E12.9;;SAME-AS;;;;;;;
;Other specified diabetes mellitus  ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with coma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.0;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with ketoacidosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.1;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with renal complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.2 ;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with ophthalmic complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.3 ;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with neurological complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.4 ;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with peripheral circulatory complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.5;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with other specified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.6;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with multiple complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.7;;SAME-AS;;;;;;;
;Other specified diabetes mellitus with unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.8;;SAME-AS;;;;;;;
;Other specified diabetes mellitus without complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E13.9;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus  ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with coma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.0;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with ketoacidosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.1;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with renal complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.2 ;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with ophthalmic complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.3 ;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with neurological complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.4 ;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with peripheral circulatory complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.5;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with other specified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.6;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with multiple complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.7;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus with unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.8;;SAME-AS;;;;;;;
;Unspecified diabetes mellitus without complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E14.9;;SAME-AS;;;;;;;
;Nondiabetic hypoglycemic coma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E15;;SAME-AS;;;;;;;
;Other disorders of pancreatic internal secretion;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E16;;SAME-AS;;;;;;;
;Drug-induced hypoglycemia without coma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E16.0;;SAME-AS;;;;;;;
;Other hypoglycemia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;E16.1;;SAME-AS;;;;;;;
