uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Bacterial meningitis, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G00;;SAME-AS;;;;;;;
;Hemophilus meningitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G00.0;;SAME-AS;;;;;;;
;Pneumococcal meningitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G00.1;;SAME-AS;;;;;;;
;Streptococcal meningitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G00.2;;SAME-AS;;;;;;;
;Staphylococcal meningitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G00.3;;SAME-AS;;;;;;;
;Other bacterial meningitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G00.8;;SAME-AS;;;;;;;
;Bacterial meningitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G00.9;;SAME-AS;;;;;;;
;Meningitis due to other and unspecified causes;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G03;;SAME-AS;;;;;;;
;Nonpyogenic meningitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G03.0;;SAME-AS;;;;;;;
;Chronic meningitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G03.1;;SAME-AS;;;;;;;
;Benign recurrent meningitis [Mollaret];;;;Diagnosis;N/A;;FALSE;ICD10-BD;G03.2;;SAME-AS;;;;;;;
;Meningitis due to other specified causes;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G03.8;;SAME-AS;;;;;;;
;Meningitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G03.9;;SAME-AS;;;;;;;
;Encephalitis, myelitis, and encephalomyelitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G04;;SAME-AS;;;;;;;
;Acute disseminated encephalitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G04.0;;SAME-AS;;;;;;;
;Tropical spastic paraplegia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G04.1;;SAME-AS;;;;;;;
;Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G04.2;;SAME-AS;;;;;;;
;Other encephalitis, myelitis, and encephalomyelitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G04.8;;SAME-AS;;;;;;;
;Encephalitis, myelitis, and encephalomyelitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G04.9;;SAME-AS;;;;;;;
;Intracranial and intraspinal abscess and granuloma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G06;;SAME-AS;;;;;;;
;Intracranial abscess and granuloma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G06.0;;SAME-AS;;;;;;;
;Intraspinal abscess and granuloma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;G06.1;;SAME-AS;;;;;;;
