uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Acute nasopharyngitis [common cold];;;;Diagnosis;N/A;;FALSE;ICD10-BD;J00;;SAME-AS;;;;;;;
;Acute sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J01;;SAME-AS;;;;;;;
;Acute maxillary sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J01.0;;SAME-AS;;;;;;;
;Acute frontal sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J01.1;;SAME-AS;;;;;;;
;Acute ethmoidal sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J01.2;;SAME-AS;;;;;;;
;Acute sphenoidal sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J01.3;;SAME-AS;;;;;;;
;Acute pansinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J01.4;;SAME-AS;;;;;;;
;Other acute sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J01.8;;SAME-AS;;;;;;;
;Acute sinusitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J01.9;;SAME-AS;;;;;;;
;Acute pharyngitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J02;;SAME-AS;;;;;;;
;Streptococcal pharyngitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J02.0;;SAME-AS;;;;;;;
;Acute pharyngitis due to other specified organisms;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J02.8;;SAME-AS;;;;;;;
;Acute pharyngitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J02.9;;SAME-AS;;;;;;;
;Acute tonsillitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J03;;SAME-AS;;;;;;;
;Streptococcal tonsillitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J03.0;;SAME-AS;;;;;;;
;Acute tonsillitis due to other specified organisms;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J03.8;;SAME-AS;;;;;;;
;Acute tonsillitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J03.9;;SAME-AS;;;;;;;
;Acute laryngitis and tracheitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J04;;SAME-AS;;;;;;;
;Acute laryngitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J04.0;;SAME-AS;;;;;;;
;Acute tracheitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J04.1;;SAME-AS;;;;;;;
;Acute laryngotracheitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J04.2;;SAME-AS;;;;;;;
;Acute obstructive laryngitis [croup] and epiglottitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J05;;SAME-AS;;;;;;;
;Acute obstructive laryngitis [croup];;;;Diagnosis;N/A;;FALSE;ICD10-BD;J05.0;;SAME-AS;;;;;;;
;Acute epiglottitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J05.1;;SAME-AS;;;;;;;
;Acute upper respiratory infections of multiple and unspecified sites;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J06;;SAME-AS;;;;;;;
;Acute laryngopharyngitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J06.0;;SAME-AS;;;;;;;
;Other acute upper respiratory infections of multiple sites;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J06.8;;SAME-AS;;;;;;;
;Acute upper respiratory infection, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J06.9;;SAME-AS;;;;;;;
;Influenza due to identified avian influenza virus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J09;;SAME-AS;;;;;;;
;Influenza due to identified influenza virus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J10;;SAME-AS;;;;;;;
;Influenza with pneumonia, influenza virus identified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J10.0;;SAME-AS;;;;;;;
;Influenza with other respiratory manifestations, influenza virus identified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J10.1;;SAME-AS;;;;;;;
;Influenza with other manifestations, influenza virus identified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J10.8;;SAME-AS;;;;;;;
;Influenza, virus not identified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J11;;SAME-AS;;;;;;;
;Influenza with pneumonia, virus not identified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J11.0;;SAME-AS;;;;;;;
;Influenza with other respiratory manifestations, virus not identified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J11.1;;SAME-AS;;;;;;;
;Influenza with other manifestations, virus not identified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J11.8;;SAME-AS;;;;;;;
;Viral pneumonia, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J12;;SAME-AS;;;;;;;
;Adenoviral pneumonia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J12.0;;SAME-AS;;;;;;;
;Respiratory syncytial virus pneumonia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J12.1;;SAME-AS;;;;;;;
;Parainfluenza virus pneumonia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J12.2;;SAME-AS;;;;;;;
;Other viral pneumonia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J12.8;;SAME-AS;;;;;;;
;Viral pneumonia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J12.9;;SAME-AS;;;;;;;
;Pneumonia due to Streptococcus pneumoniae;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J13;;SAME-AS;;;;;;;
;Pneumonia due to Hemophilus influenzae;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J14;;SAME-AS;;;;;;;
;Bacterial pneumonia, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15;;SAME-AS;;;;;;;
;Pneumonia due to Klebsiella pneumoniae;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.0;;SAME-AS;;;;;;;
;Pneumonia due to Pseudomonas;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.1;;SAME-AS;;;;;;;
;Pneumonia due to staphylococcus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.2;;SAME-AS;;;;;;;
;Pneumonia due to streptococcus, group B;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.3;;SAME-AS;;;;;;;
;Pneumonia due to other streptococci;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.4;;SAME-AS;;;;;;;
;Pneumonia due to Escherichia coli;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.5;;SAME-AS;;;;;;;
;Pneumonia due to other aerobic Gram-negative bacteria;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.6;;SAME-AS;;;;;;;
;Pneumonia due to Mycoplasma pneumoniae;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.7;;SAME-AS;;;;;;;
;Other bacterial pneumonia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.8;;SAME-AS;;;;;;;
;Bacterial pneumonia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J15.9;;SAME-AS;;;;;;;
;Pneumonia due to other infectious organisms, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J16;;SAME-AS;;;;;;;
;Chlamydial pneumonia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J16.0;;SAME-AS;;;;;;;
;Pneumonia due to other specified infectious organisms;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J16.8;;SAME-AS;;;;;;;
;Pneumonia, organism unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J18;;SAME-AS;;;;;;;
;Bronchopneumonia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J18.0;;SAME-AS;;;;;;;
;Lobar pneumonia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J18.1;;SAME-AS;;;;;;;
;Hypostatic pneumonia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J18.2;;SAME-AS;;;;;;;
;Other pneumonia, organism unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J18.8;;SAME-AS;;;;;;;
