uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Pyogenic arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M00;;SAME-AS;;;;;;;
;Staphylococcal arthritis and polyarthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M00.0;;SAME-AS;;;;;;;
;Pneumococcal arthritis and polyarthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M00.1;;SAME-AS;;;;;;;
;Other streptococcal arthritis and polyarthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M00.2;;SAME-AS;;;;;;;
;Arthritis and polyarthritis due to other specified bacterial agents;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M00.8;;SAME-AS;;;;;;;
;Pyogenic arthritis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M00.9;;SAME-AS;;;;;;;
;Reactive arthropathies;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M02;;SAME-AS;;;;;;;
;Arthropathy following intestinal bypass;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M02.0;;SAME-AS;;;;;;;
;Postdysenteric arthropathy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M02.1;;SAME-AS;;;;;;;
;Postimmunization arthropathy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M02.2;;SAME-AS;;;;;;;
;Reiter's disease;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M02.3;;SAME-AS;;;;;;;
;Other reactive arthropathies;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M02.8;;SAME-AS;;;;;;;
;Reactive arthopathy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M02.9;;SAME-AS;;;;;;;
;Seropositive rheumatoid arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M05;;SAME-AS;;;;;;;
;Felty's syndrome;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M05.0;;SAME-AS;;;;;;;
;Rheumatoid lung disease;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M05.1;;SAME-AS;;;;;;;
;Rheumatoid vasculitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M05.2;;SAME-AS;;;;;;;
;Rheumatoid arthritis with involvement of other organs and systems;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M05.3;;SAME-AS;;;;;;;
;Other seropositive rheumatoid arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M05.8;;SAME-AS;;;;;;;
;Seropositive rheumatoid arthritis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M05.9;;SAME-AS;;;;;;;
;Other rheumatoid arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M06;;SAME-AS;;;;;;;
;Seronegative rheumatoid arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M06.0;;SAME-AS;;;;;;;
;Adult-onset Still's disease;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M06.1;;SAME-AS;;;;;;;
;Rheumatoid bursitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M06.2;;SAME-AS;;;;;;;
;Rheumatoid nodule;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M06.3;;SAME-AS;;;;;;;
;Inflammatory polyarthropathy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M06.4;;SAME-AS;;;;;;;
;Other specified rheumatoid arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M06.8;;SAME-AS;;;;;;;
;Rheumatoid arthritis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M06.9;;SAME-AS;;;;;;;
;Juvenile arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M08;;SAME-AS;;;;;;;
;Juvenile rheumatoid arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M08.0;;SAME-AS;;;;;;;
;Juvenile ankylosing spondylitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M08.1;;SAME-AS;;;;;;;
;Juvenile arthritis with systemic onset;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M08.2;;SAME-AS;;;;;;;
;Juvenile polyarthritis (seronegative);;;;Diagnosis;N/A;;FALSE;ICD10-BD;M08.3;;SAME-AS;;;;;;;
;Pauciarticular juvenile arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M08.4;;SAME-AS;;;;;;;
;Other juvenile arthritis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M08.8;;SAME-AS;;;;;;;
;Juvenile arthritis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M08.9;;SAME-AS;;;;;;;
;Gout;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M10;;SAME-AS;;;;;;;
;Idiopathic gout;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M10.0;;SAME-AS;;;;;;;
;Lead-induced gout;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M10.1;;SAME-AS;;;;;;;
;Drug-induced gout;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M10.2;;SAME-AS;;;;;;;
;Gout due to impairment of renal function;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M10.3;;SAME-AS;;;;;;;
;Other secondary gout;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M10.4;;SAME-AS;;;;;;;
;Gout, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M10.9;;SAME-AS;;;;;;;
;Other crystal arthropathies;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M11;;SAME-AS;;;;;;;
;Hydroxyapatite deposition disease;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M11.0;;SAME-AS;;;;;;;
;Familial chondrocalcinosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M11.1;;SAME-AS;;;;;;;
;Other chondrocalcinosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M11.2;;SAME-AS;;;;;;;
;Other specified crystal arthropathies;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M11.8;;SAME-AS;;;;;;;
;Crystal arthropathy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M11.9;;SAME-AS;;;;;;;
;Other specific arthropathies;;;;Diagnosis;N/A;;FALSE;ICD10-BD;M12;;SAME-AS;;;;;;;
;Chronic postrheumatic arthropathy [Jaccoud];;;;Diagnosis;N/A;;FALSE;ICD10-BD;M12.0;;SAME-AS;;;;;;;
