uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Ectopic pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O00;;SAME-AS;;;;;;;
;Abdominal pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O00.0;;SAME-AS;;;;;;;
;Tubal pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O00.1;;SAME-AS;;;;;;;
;Ovarian pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O00.2;;SAME-AS;;;;;;;
;Other ectopic pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O00.8;;SAME-AS;;;;;;;
;Ectopic pregnancy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O00.9;;SAME-AS;;;;;;;
;Hydatidiform mole;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O01;;SAME-AS;;;;;;;
;Classical hydatidiform mole;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O01.0;;SAME-AS;;;;;;;
;Incomplete and partial hydatidiform mole;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O01.1;;SAME-AS;;;;;;;
;Hydatidiform mole, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O01.9;;SAME-AS;;;;;;;
;Other abnormal products of conception;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O02;;SAME-AS;;;;;;;
;Blighted ovum and nonhydatidiform mole;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O02.0;;SAME-AS;;;;;;;
;Missed abortion;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O02.1;;SAME-AS;;;;;;;
;Other specified abnormal products of conception;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O02.8;;SAME-AS;;;;;;;
;Abnormal product of conception, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O02.9;;SAME-AS;;;;;;;
;Spontaneous abortion;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03;;SAME-AS;;;;;;;
