uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Abnormalities of heart beat;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R00;;SAME-AS;;;;;;;
;Tachycardia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R00.0;;SAME-AS;;;;;;;
;Bradycardia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R00.1;;SAME-AS;;;;;;;
;Palpitations;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R00.2;;SAME-AS;;;;;;;
;Other and unspecified abnormalities of heart beat;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R00.8;;SAME-AS;;;;;;;
;Cardiac murmurs and other cardiac sounds;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R01;;SAME-AS;;;;;;;
;Benign and innocent cardiac murmurs;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R01.0;;SAME-AS;;;;;;;
;Cardiac murmur, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R01.1;;SAME-AS;;;;;;;
;Other cardiac sounds;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R01.2;;SAME-AS;;;;;;;
;Gangrene, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R02;;SAME-AS;;;;;;;
;Abnormal blood-pressure reading, without diagnosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R03;;SAME-AS;;;;;;;
;Elevated blood-pressure reading, without diagnosis of hypertension;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R03.0;;SAME-AS;;;;;;;
;Nonspecific low blood-pressure reading;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R03.1;;SAME-AS;;;;;;;
;Hemorrhage from respiratory passages;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R04;;SAME-AS;;;;;;;
;Epistaxis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R04.0;;SAME-AS;;;;;;;
;Hemorrhage from throat;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R04.1;;SAME-AS;;;;;;;
;Hemoptysis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R04.2;;SAME-AS;;;;;;;
;Hemorrhage from other sites in respiratory passages;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R04.8;;SAME-AS;;;;;;;
;Hemorrhage from respiratory passages, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R04.9;;SAME-AS;;;;;;;
;Cough;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R05;;SAME-AS;;;;;;;
;Abnormalities of breathing;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06;;SAME-AS;;;;;;;
;Dyspnea;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.0;;SAME-AS;;;;;;;
;Stridor;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.1;;SAME-AS;;;;;;;
;Wheezing;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.2;;SAME-AS;;;;;;;
;Periodic breathing;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.3;;SAME-AS;;;;;;;
;Hyperventilation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.4;;SAME-AS;;;;;;;
;Mouth breathing;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.5;;SAME-AS;;;;;;;
;Hiccough;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.6;;SAME-AS;;;;;;;
;Sneezing;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.7;;SAME-AS;;;;;;;
;Other and unspecified abnormalities of breathing;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R06.8;;SAME-AS;;;;;;;
;Pain in throat and chest;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R07;;SAME-AS;;;;;;;
;Pain in throat;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R07.0;;SAME-AS;;;;;;;
;Chest pain on breathing;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R07.1;;SAME-AS;;;;;;;
;Precordial pain;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R07.2;;SAME-AS;;;;;;;
;Other chest pain;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R07.3;;SAME-AS;;;;;;;
;Chest pain, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R07.4;;SAME-AS;;;;;;;
;Other symptoms and signs involving the circulatory and respiratory systems;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R09;;SAME-AS;;;;;;;
;Asphyxia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R09.0;;SAME-AS;;;;;;;
;Pleurisy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R09.1;;SAME-AS;;;;;;;
;Respiratory arrest;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R09.2;;SAME-AS;;;;;;;
;Abnormal sputum;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R09.3;;SAME-AS;;;;;;;
;Other specified symptoms and signs involving the circulatory and respiratory systems;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R09.8;;SAME-AS;;;;;;;
;Abdominal and pelvic pain;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R10;;SAME-AS;;;;;;;
;Acute abdomen;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R10.0;;SAME-AS;;;;;;;
;Pain localized to upper abdomen;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R10.1;;SAME-AS;;;;;;;
;Pelvic and perineal pain;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R10.2;;SAME-AS;;;;;;;
;Pain localized to other parts of lower abdomen;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R10.3;;SAME-AS;;;;;;;
;Other and unspecified abdominal pain;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R10.4;;SAME-AS;;;;;;;
;Nausea and vomiting;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R11;;SAME-AS;;;;;;;
;Heartburn;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R12;;SAME-AS;;;;;;;
;Dysphagia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;R13;;SAME-AS;;;;;;;
