uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Superficial injuries involving multiple body regions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T00;;SAME-AS;;;;;;;
;Superficial injuries involving multiple regions of upper limb(s);;;;Diagnosis;N/A;;FALSE;ICD10-BD;T00.2;;SAME-AS;;;;;;;
;Superficial injuries involving multiple regions of lower limb(s);;;;Diagnosis;N/A;;FALSE;ICD10-BD;T00.3;;SAME-AS;;;;;;;
;Superficial injuries involving other combinations of body regions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T00.8;;SAME-AS;;;;;;;
;Multiple superficial injuries, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T00.9;;SAME-AS;;;;;;;
;Open wounds involving multiple body regions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T01;;SAME-AS;;;;;;;
;Open wounds involving multiple regions of upper limb(s);;;;Diagnosis;N/A;;FALSE;ICD10-BD;T01.2;;SAME-AS;;;;;;;
;Open wounds involving multiple regions of lower limb(s);;;;Diagnosis;N/A;;FALSE;ICD10-BD;T01.3;;SAME-AS;;;;;;;
;Multiple open wounds, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T01.9;;SAME-AS;;;;;;;
;Fractures involving multiple body regions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T02;;SAME-AS;;;;;;;
;Fractures involving thorax with lower back and pelvis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T02.1;;SAME-AS;;;;;;;
;Fractures involving multiple regions of one upper limb;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T02.2;;SAME-AS;;;;;;;
;Fractures involving multiple regions of one lower limb;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T02.3;;SAME-AS;;;;;;;
;Fractures involving multiple regions of both upper limbs;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T02.4;;SAME-AS;;;;;;;
;Fractures involving multiple regions of both lower limbs;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T02.5;;SAME-AS;;;;;;;
;Fractures involving other combinations of body regions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T02.8;;SAME-AS;;;;;;;
;Multiple fractures, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;T02.9;;SAME-AS;;;;;;;
