uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Fall on same level involving ice and snow;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W00;;SAME-AS;;;;;;;
;Fall on same level from slipping, tripping, and stumbling;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W01;;SAME-AS;;;;;;;
;Fall involving ice skates, skis, roller skates, or skateboards;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W02;;SAME-AS;;;;;;;
;Other fall on same level due to collision with, or pushing by, another person;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W03;;SAME-AS;;;;;;;
;Fall while being carried or supported by other persons;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W04;;SAME-AS;;;;;;;
;Fall involving wheelchair;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W05;;SAME-AS;;;;;;;
;Fall involving bed;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W06;;SAME-AS;;;;;;;
;Fall involving chair;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W07;;SAME-AS;;;;;;;
;Fall involving other furniture;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W08;;SAME-AS;;;;;;;
;Fall involving playground equipment;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W09;;SAME-AS;;;;;;;
;Fall on and from stairs and steps;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W10;;SAME-AS;;;;;;;
;Fall on and from ladder;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W11;;SAME-AS;;;;;;;
;Fall on and from scaffolding;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W12;;SAME-AS;;;;;;;
;Fall from, out of, or through building or structure;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W13;;SAME-AS;;;;;;;
;Fall from tree;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W14;;SAME-AS;;;;;;;
;Fall from cliff;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W15;;SAME-AS;;;;;;;
;Diving or jumping into water causing injury other than drowning or submersion;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W16;;SAME-AS;;;;;;;
;Other fall from one level to another;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W17;;SAME-AS;;;;;;;
;Other fall on same level;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W18;;SAME-AS;;;;;;;
;Unspecified fall;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W19;;SAME-AS;;;;;;;
;Struck by thrown, projected, or falling object;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W20;;SAME-AS;;;;;;;
;Striking against or struck by sports equipment;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W21;;SAME-AS;;;;;;;
;Striking against or struck by other objects;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W22;;SAME-AS;;;;;;;
;Caught, crushed, jammed, or pinched in or between objects;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W23;;SAME-AS;;;;;;;
;Contact with lifting and transmission devices, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W24;;SAME-AS;;;;;;;
;Contact with sharp glass;;;;Diagnosis;N/A;;FALSE;ICD10-BD;W25;;SAME-AS;;;;;;;
