uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;General medical examination;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z00.0;General medical examination;SAME-AS;;;;;;;
;Routine child health examination;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z00.1;Routine child health examination;SAME-AS;;;;;;;
;Examination for period of rapid growth in childhood;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z00.2;Examination for period of rapid growth in childhood;SAME-AS;;;;;;;
;Examination for adolescent development state;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z00.3;Examination for adolescent development state;SAME-AS;;;;;;;
;General psychiatric examination, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z00.4;General psychiatric examination, not elsewhere classified;SAME-AS;;;;;;;
;Examination of potential donor of organ and tissue;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z00.5;Examination of potential donor of organ and tissue;SAME-AS;;;;;;;
;Examination for normal comparison and control in clinical research programme;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z00.6;Examination for normal comparison and control in clinical research programme;SAME-AS;;;;;;;
;Examination of eyes and vision;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.0;Examination of eyes and vision;SAME-AS;;;;;;;
;Examination of ears and hearing;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.1;Examination of ears and hearing;SAME-AS;;;;;;;
;Dental examination;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.2;Dental examination;SAME-AS;;;;;;;
;Examination of blood pressure;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.3;Examination of blood pressure;SAME-AS;;;;;;;
;Gynaecological examination (general)(routine);;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.4;Gynaecological examination (general)(routine);SAME-AS;;;;;;;
;Diagnostic skin and sensitization tests;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.5;Diagnostic skin and sensitization tests;SAME-AS;;;;;;;
;Radiological examination, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.6;Radiological examination, not elsewhere classified;SAME-AS;;;;;;;
;Laboratory examination;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.7;Laboratory examination;SAME-AS;;;;;;;
;Other specified special examinations;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.8;Other specified special examinations;SAME-AS;;;;;;;
;Special examination, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z01.9;Special examination, unspecified;SAME-AS;;;;;;;
;Examination for admission to educational institution;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z02.0;Examination for admission to educational institution;SAME-AS;;;;;;;
;Pre-employment examination;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z02.1;Pre-employment examination;SAME-AS;;;;;;;
;Examination for admission to residential institutions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;Z02.2;Examination for admission to residential institutions;SAME-AS;;;;;;;
