uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Compatible;;;;Misc;N/A;Compatible;FALSE;;;;;;;;;;;
;Incompatible;;;;Misc;N/A;Incompatible;FALSE;;;;;;;;;;;
;Lesion of breast;;;;Finding;N/A;Lesion of breast;FALSE;ICD10-BD;N64.9;Disorder of breast, unspecified;;;;;;;;
;Discoloration of skin of breast;;;;Finding;N/A;Discoloration of skin of breast;FALSE;ICD10-BD;N64;Other disorders of breast;;;;;;;;
;Breast pain;;;;Finding;N/A;Breast pain;FALSE;ICD10-BD;N64;Other disorders of breast;;;;;;;;
;Nipple discharge - pus;;;;Finding;N/A;Pus;FALSE;ICD10-BD;N64.5;Other signs and symptoms in breast;;;;;;;;
;Nipple bleeding;;;;Finding;N/A;Blood;FALSE;ICD10-BD;N64.5;Other signs and symptoms in breast;;;;;;;;
;Vaginal discharge problem;;;;Finding;N/A;Irregular vaginal discharge;FALSE;ICD10-BD;N89.8;Other specified noninflammatory disorders of vagina;;;;;;;;
;Offensive vaginal discharge;;;;Finding;N/A;Vaginal discharge with odor;FALSE;ICD10-BD;N89.8;Other specified noninflammatory disorders of vagina;;;;;;;;
;Lower abdominal pain;;;;Finding;N/A;Lower abdominal pain;FALSE;ICD10-BD;R10.2 ;Pelvic and perineal pain;;;;;;;;
;Discharge of blood after intercourse;;;;Finding;N/A;Discharge of blood after intercourse;FALSE;ICD10-BD;N89.8;Other specified noninflammatory disorders of vagina;;;;;;;;
;Intercostal recession;;;;Finding;N/A;Chest indrawing;FALSE;ICD10-BD;R06.8;Other and unspecified abnormalities of breathing;;;;;;;;
;Purulent pustules;;;;Finding;N/A;Pustules;FALSE;ICD10-BD;L08.8 ;Other specified local infections of skin and subcutaneous tissue;;;;;;;;
;Grunting baby;;;;Finding;N/A;Grunting baby;FALSE;ICD10-BD;P22.0;Respiratory distress syndrome of newborn;;;;;;;;
