uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Drug suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;7946007;;SAME-AS;;;;;;Medication Forms;1
;Drug stick ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;11190007;;SAME-AS;;;;;;Medication Forms;2
;Drug lotion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;17519006;;SAME-AS;;;;;;Medication Forms;3
;Drug aerosol foam ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;30843009;;SAME-AS;;;;;;Medication Forms;4
;Drug patch ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;36875001;;SAME-AS;;;;;;Medication Forms;5
;Drug paste ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;37937005;;SAME-AS;;;;;;Medication Forms;6
;Pill ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;46992007;;SAME-AS;;;;;;Medication Forms;7
;Caplet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;48582000;;SAME-AS;;;;;;Medication Forms;8
;Drug aerosol ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;52262001;;SAME-AS;;;;;;Medication Forms;9
;Liniment ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;63316001;;SAME-AS;;;;;;Medication Forms;10
;Drug pledget;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;64241004;;SAME-AS;;;;;;Medication Forms;11
;Chewable tablet;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;66076007;;SAME-AS;;;;;;Medication Forms;12
;Drug solution;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;77899000;;SAME-AS;;;;;;Medication Forms;13
;Drug powder ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;85581007;;SAME-AS;;;;;;Medication Forms;14
;Oral drops ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385018001;;SAME-AS;;;;;;Medication Forms;15
;Oral drops solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385019009;;SAME-AS;;;;;;Medication Forms;16
;Oral drops suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385020003;;SAME-AS;;;;;;Medication Forms;17
;Oral drops emulsion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385021004;;SAME-AS;;;;;;Medication Forms;18
;Oral liquid ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385022006;;SAME-AS;;;;;;Medication Forms;19
;Oral solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385023001;;SAME-AS;;;;;;Medication Forms;20
;Oral suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385024007;;SAME-AS;;;;;;Medication Forms;21
;Oral emulsion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385025008;;SAME-AS;;;;;;Medication Forms;22
;Powder for oral solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385026009;;SAME-AS;;;;;;Medication Forms;23
;Powder for oral suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385027000;;SAME-AS;;;;;;Medication Forms;24
;Granules for oral solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385028005;;SAME-AS;;;;;;Medication Forms;25
;Granules for oral suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385029002;;SAME-AS;;;;;;Medication Forms;26
;Syrup ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385032004;;SAME-AS;;;;;;Medication Forms;27
;Powder for syrup ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385033009;;SAME-AS;;;;;;Medication Forms;28
;Granules for syrup ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385034003;;SAME-AS;;;;;;Medication Forms;29
;Soluble tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385035002;;SAME-AS;;;;;;Medication Forms;30
;Dispersible tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385036001;;SAME-AS;;;;;;Medication Forms;31
;Oral gel ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385038000;;SAME-AS;;;;;;Medication Forms;32
;Oral paste ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385039008;;SAME-AS;;;;;;Medication Forms;33
;Oral powder ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385041009;;SAME-AS;;;;;;Medication Forms;34
;Effervescent powder ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385042002;;SAME-AS;;;;;;Medication Forms;35
;Granules dose form ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385043007;;SAME-AS;;;;;;Medication Forms;36
;Effervescent granules ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385044001;;SAME-AS;;;;;;Medication Forms;37
;Gastro-resistant granules ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385045000;;SAME-AS;;;;;;Medication Forms;38
;Prolonged-release granules ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385046004;;SAME-AS;;;;;;Medication Forms;39
;Modified-release granules ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385047008;;SAME-AS;;;;;;Medication Forms;40
;Cachet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385048003;;SAME-AS;;;;;;Medication Forms;41
;Capsule dose form ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385049006;;SAME-AS;;;;;;Medication Forms;42
;Hard capsule ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385050006;;SAME-AS;;;;;;Medication Forms;43
;Soft capsule ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385051005;;SAME-AS;;;;;;Medication Forms;44
;Gastro-resistant capsule ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385052003;;SAME-AS;;;;;;Medication Forms;45
;Prolonged-release capsule ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385053008;;SAME-AS;;;;;;Medication Forms;46
;Modified-release capsule ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385054002;;SAME-AS;;;;;;Medication Forms;47
;Tablet dose form ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385055001;;SAME-AS;;;;;;Medication Forms;48
;Film-coated tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385057009;;SAME-AS;;;;;;Medication Forms;49
;Effervescent tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385058004;;SAME-AS;;;;;;Medication Forms;50
;Gastro-resistant tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385059007;;SAME-AS;;;;;;Medication Forms;51
;Prolonged-release tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385060002;;SAME-AS;;;;;;Medication Forms;52
;Modified-release tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385061003;;SAME-AS;;;;;;Medication Forms;53
;Oral lyophilisate ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385062005;;SAME-AS;;;;;;Medication Forms;54
;Oral gum ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385063000;;SAME-AS;;;;;;Medication Forms;55
;Pillule ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385064006;;SAME-AS;;;;;;Medication Forms;56
;Oromucosal liquid ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385069001;;SAME-AS;;;;;;Medication Forms;57
;Oromucosal solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385070000;;SAME-AS;;;;;;Medication Forms;58
;Oromucosal suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385071001;;SAME-AS;;;;;;Medication Forms;59
;Oromucosal spray ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385073003;;SAME-AS;;;;;;Medication Forms;60
;Sublingual spray ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385074009;;SAME-AS;;;;;;Medication Forms;61
;Gingival solution;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385077002;;SAME-AS;;;;;;Medication Forms;62
;Oromucosal gel ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385078007;;SAME-AS;;;;;;Medication Forms;63
;Oromucosal paste ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385079004;;SAME-AS;;;;;;Medication Forms;64
;Medicated chewing-gum ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385080001;;SAME-AS;;;;;;Medication Forms;65
;Gingival gel;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385081002;;SAME-AS;;;;;;Medication Forms;66
;Gingival paste ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385082009;;SAME-AS;;;;;;Medication Forms;67
;Oromucosal capsule ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385083004;;SAME-AS;;;;;;Medication Forms;68
;Sublingual tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385084005;;SAME-AS;;;;;;Medication Forms;69
;Buccal tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385085006;;SAME-AS;;;;;;Medication Forms;70
;Muco-adhesive buccal tablet ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385086007;;SAME-AS;;;;;;Medication Forms;71
;Lozenge ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385087003;;SAME-AS;;;;;;Medication Forms;72
;Dental gel ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385088008;;SAME-AS;;;;;;Medication Forms;73
;Dental stick ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385089000;;SAME-AS;;;;;;Medication Forms;74
;Dental insert ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385090009;;SAME-AS;;;;;;Medication Forms;75
;Dental powder ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385091008;;SAME-AS;;;;;;Medication Forms;76
;Dental liquid ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385092001;;SAME-AS;;;;;;Medication Forms;77
;Dental solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385094000;;SAME-AS;;;;;;Medication Forms;78
;Dental suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385095004;;SAME-AS;;;;;;Medication Forms;79
;Dental emulsion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385096003;;SAME-AS;;;;;;Medication Forms;80
;Bath additive ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385098002;;SAME-AS;;;;;;Medication Forms;81
;Cream ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385099005;;SAME-AS;;;;;;Medication Forms;82
;Gel ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385100002;;SAME-AS;;;;;;Medication Forms;83
;Ointment ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385101003;;SAME-AS;;;;;;Medication Forms;84
;Cutaneous paste ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385102005;;SAME-AS;;;;;;Medication Forms;85
;Cutaneous foam ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385103000;;SAME-AS;;;;;;Medication Forms;86
;Shampoo dose form ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385104006;;SAME-AS;;;;;;Medication Forms;87
;Cutaneous spray ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385105007;;SAME-AS;;;;;;Medication Forms;88
;Cutaneous solution spray ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385106008;;SAME-AS;;;;;;Medication Forms;89
;Cutaneous liquid ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385107004;;SAME-AS;;;;;;Medication Forms;90
;Cutaneous solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385108009;;SAME-AS;;;;;;Medication Forms;91
;Cutaneous suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385110006;;SAME-AS;;;;;;Medication Forms;92
;Cutaneous emulsion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385111005;;SAME-AS;;;;;;Medication Forms;93
;Cutaneous powder ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385112003;;SAME-AS;;;;;;Medication Forms;94
;Solution for iontophoresis ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385113008;;SAME-AS;;;;;;Medication Forms;95
;Transdermal patch ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385114002;;SAME-AS;;;;;;Medication Forms;96
;Collodion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385115001;;SAME-AS;;;;;;Medication Forms;97
;Medicated nail laquer ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385116000;;SAME-AS;;;;;;Medication Forms;98
;Poultice ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385117009;;SAME-AS;;;;;;Medication Forms;99
;Cutaneous stick ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385118004;;SAME-AS;;;;;;Medication Forms;100
;Cutaneous sponge ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385119007;;SAME-AS;;;;;;Medication Forms;101
;Eye cream ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385121002;;SAME-AS;;;;;;Medication Forms;102
;Eye gel ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385122009;;SAME-AS;;;;;;Medication Forms;103
;Eye ointment ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385123004;;SAME-AS;;;;;;Medication Forms;104
;Eye drops ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385124005;;SAME-AS;;;;;;Medication Forms;105
;Eye drops solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385125006;;SAME-AS;;;;;;Medication Forms;106
;Prolonged-release eye drops ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385128008;;SAME-AS;;;;;;Medication Forms;107
;Eye lotion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385130005;;SAME-AS;;;;;;Medication Forms;108
;Ophthalmic insert ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385132002;;SAME-AS;;;;;;Medication Forms;109
;Ear cream ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385133007;;SAME-AS;;;;;;Medication Forms;110
;Ear gel ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385134001;;SAME-AS;;;;;;Medication Forms;111
;Ear ointment ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385135000;;SAME-AS;;;;;;Medication Forms;112
;Ear drops ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385136004;;SAME-AS;;;;;;Medication Forms;113
;Ear drops solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385137008;;SAME-AS;;;;;;Medication Forms;114
;Ear drops emulsion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385138003;;SAME-AS;;;;;;Medication Forms;115
;Ear powder ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385139006;;SAME-AS;;;;;;Medication Forms;116
;Ear spray ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385140008;;SAME-AS;;;;;;Medication Forms;117
;Ear spray solution ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385141007;;SAME-AS;;;;;;Medication Forms;118
;Ear spray suspension ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385142000;;SAME-AS;;;;;;Medication Forms;119
;Ear spray emulsion ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385143005;;SAME-AS;;;;;;Medication Forms;120
;Ear tampon ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385147006;;SAME-AS;;;;;;Medication Forms;121
;Ear stick ;;;;Misc;N/A;;FALSE;SNOMED-CT-BD;385148001;;SAME-AS;;;;;;Medication Forms;122
