Generic Name;Brand Name;Strength;Dosage Form;Dosing Units;Ignore
Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B;Pentavalent 1;;Injection solution;mL;
Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B;Pentavalent 2;;Injection solution;mL;
Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B;Pentavalent 3;;Injection solution;mL;
Poliomyelitis oral, trivalent, live attenuated;OPV;;Oral drops;Drop;
Tuberculosis, live attenuated;BCG;;Injection solution;mL;
Pneumococcus, purified polysaccharides antigen conjugated;PCV 1;;Injection solution;mL;
Pneumococcus, purified polysaccharides antigen conjugated;PCV 2;;Injection solution;mL;
Pneumococcus, purified polysaccharides antigen conjugated;PCV 3;;Injection solution;mL;
Measles, combinations with rubella, live attenuated;MCV 1;;Injection solution;mL;
Measles, combinations with rubella, live attenuated;MCV 2;;Injection solution;mL;
Tetanus toxoid;TT 1;;Injection solution;mL;
Tetanus toxoid;TT 2;;Injection solution;mL;
Tetanus toxoid;TT 3;;Injection solution;mL;
Tetanus toxoid;TT 4;;Injection solution;mL;
Tetanus toxoid;TT 5;;Injection solution;mL;
