name;level_code;location_code;level;level_name
Barisal;10;10;1;division
Barguna;04;1004;2;district
Amtali;09;100409;3;upazila
Amtali Paurasava;20;10040920;4;paurasava_or_city_corp
Urban Ward No-01;01;1004092001;5;union_or_urban_ward
Urban Ward No-02;02;1004092002;5;union_or_urban_ward
Urban Ward No-03;03;1004092003;5;union_or_urban_ward
Urban Ward No-04;04;1004092004;5;union_or_urban_ward
Urban Ward No-05;05;1004092005;5;union_or_urban_ward
Urban Ward No-06;06;1004092006;5;union_or_urban_ward
Urban Ward No-07;07;1004092007;5;union_or_urban_ward
Urban Ward No-08;08;1004092008;5;union_or_urban_ward
Urban Ward No-09;09;1004092009;5;union_or_urban_ward
Unions Of Amtali Upazila;99;10040999;4;paurasava_or_city_corp
Amtali;13;1004099913;5;union_or_urban_ward
Ward No-01;01;100409991301;6;rural_ward
Ward No-02;02;100409991302;6;rural_ward
Ward No-03;03;100409991303;6;rural_ward
Ward No-04;04;100409991304;6;rural_ward
Ward No-05;05;100409991305;6;rural_ward
Ward No-06;06;100409991306;6;rural_ward
Ward No-07;07;100409991307;6;rural_ward
Ward No-08;08;100409991308;6;rural_ward
Ward No-09;09;100409991309;6;rural_ward
Arpangashia;15;1004099915;5;union_or_urban_ward
Ward No-01;01;100409991501;6;rural_ward
Ward No-02;02;100409991502;6;rural_ward
Ward No-03;03;100409991503;6;rural_ward
Ward No-04;04;100409991504;6;rural_ward
Ward No-05;05;100409991505;6;rural_ward
Ward No-06;06;100409991506;6;rural_ward
Ward No-07;07;100409991507;6;rural_ward
Ward No-08;08;100409991508;6;rural_ward
Ward No-09;09;100409991509;6;rural_ward
Atharagashia;23;1004099923;5;union_or_urban_ward
Ward No-01;01;100409992301;6;rural_ward
Ward No-02;02;100409992302;6;rural_ward
Ward No-03;03;100409992303;6;rural_ward
Ward No-04;04;100409992304;6;rural_ward
Ward No-05;05;100409992305;6;rural_ward
Ward No-06;06;100409992306;6;rural_ward
Ward No-07;07;100409992307;6;rural_ward
Ward No-08;08;100409992308;6;rural_ward
Ward No-09;09;100409992309;6;rural_ward
Chowra;47;1004099947;5;union_or_urban_ward
Ward No-01;01;100409994701;6;rural_ward
